date,open,high,low,close,volume,MA3,MA5,MA10,MA20,MACD_DIF,MACD_DEA,MACD_HIST,RSI,BOLL_MID,BOLL_STD,BOLL_UP,BOLL_DN,VOL_MA5,VOL_MA20,sentiment,sent_MA5,money_flow,money_ma20,money_std20,money_z,sig_trend,sig_macd,sig_rsi,sig_boll,sig_sent,sig_money,signal,signal_tech,ret,position,trade,strat_ret,position_tech,trade_tech,tech_ret,bench_ret,strat_nav,tech_nav,bench_nav,year
2022-01-03,21.726662898260567,22.14566423328921,21.58651098904874,22.049671415301123,62815641,,,,,0.0,0.0,0.0,,,,,,,,0.5120507055869425,0.5,-491.7096898147844,,,0.0,0,0,0,0,1,1,0,0,,0.0,,,0.0,,,,1.0,1.0,1.0,2022
2022-01-04,21.953423541822527,22.111817855538874,21.22106136932196,22.04926780397595,74230865,,,,,-3.2196914830251444e-05,-6.439382966050289e-06,-5.151506372840231e-05,,,,,,,,0.5060474643586884,0.5,-2630.736865495462,,,0.0,0,0,0,0,1,1,0,0,-1.83046412606247e-05,0.0,0.0,-0.0,0.0,0.0,-0.0,-1.83046412606247e-05,1.0,1.0,0.9999816953587394,2022
2022-01-05,21.928996007566845,22.62637634902396,21.41575300144143,22.127459476577968,30835732,22.07546623195168,,,,0.006180456842823645,0.0012309398621918888,0.009899033961263513,,,,,,,,0.5024772473352463,0.5,-2039.9270382483473,,,0.0,0,1,0,0,1,1,0,0,0.003546225357556665,0.0,0.0,0.0,0.0,0.0,0.0,0.003546225357556665,1.0,1.0,1.0035278558039131,2022
2022-01-06,22.53948755503117,23.316967194032507,22.020992867456545,22.293185281010715,22604323,22.156637520521546,,,,0.024197780147954262,0.005824307919344364,0.03674694445721979,,,,,,,,0.5622295339194946,0.5,-795.9413793740537,,,0.0,0,1,0,0,1,1,0,0,0.007489599274068004,0.0,0.0,0.0,0.0,0.0,0.0,0.007489599274068004,1.0,1.0,1.0110438773042492,2022
2022-01-07,22.434665325731725,22.58634609051577,22.18911758109908,22.28319276233033,71591283,22.234612506639674,22.160555347839217,,,0.0372410344649623,0.012107653228467952,0.05026676247298869,,,,,,52415568.8,,0.5200663108909113,0.5205742524182566,-1743.4186661445194,,,0.0,0,1,0,0,1,1,0,0,-0.00044823198454713165,0.0,0.0,-0.0,0.0,0.0,-0.0,-0.00044823198454713165,1.0,1.0,1.010590695100661,2022
2022-01-10,22.169979333650698,22.31900104010745,22.165274571215548,22.273201885427355,19494893,22.283193309589468,22.205261441864465,,,0.046238716077589004,0.018933865798292163,0.05460970055859368,,,,,,43751419.2,,0.6189439539399967,0.5419529020888675,-1306.6145334374708,,,0.0,0,1,0,0,1,1,0,0,-0.00044835930871922614,0.0,0.0,-0.0,0.0,0.0,-0.0,-0.00044835930871922614,1.0,1.0,1.0101375873552074,2022
2022-01-11,22.782411356571693,22.91603776869183,22.151632398940656,22.444545985770045,28292075,22.33364687784258,22.284317078223285,,,0.06642972003416503,0.028433036645466737,0.07599336677739658,,,,,,34563661.2,,0.4936893760661343,0.5394812844303566,-1851.9744758100144,,,0.0,0,1,0,0,1,1,0,0,0.007692836495806876,0.0,0.0,0.0,0.0,0.0,0.0,0.007692836495806876,1.0,1.0,1.0179084106529999,2022
2022-01-12,22.68197710052602,22.903890956994477,22.110781558024563,22.53471227747728,75813589,22.41748671622489,22.365767638403145,,,0.08868460144648793,0.040483349605670974,0.09640250368163392,,,,,,43559232.6,,0.5628680962993148,0.5515594542231703,-2128.023074608518,,,0.0,0,1,0,0,1,1,0,0,0.004017291851855731,0.0,0.0,0.0,0.0,0.0,0.0,0.004017291851855731,1.0,1.0,1.0219976458170517,2022
2022-01-13,22.45246295014944,22.58135456406503,21.97814077645616,22.501187657675732,64475252,22.493481973641014,22.407368113736148,,,0.10243578272329401,0.05287383622919559,0.09912389298819685,,,,,,51933418.4,,0.5329291680421934,0.54569938104771,-5859.756160952014,,,0.0,0,1,0,0,1,1,0,0,-0.001487687945102123,0.0,0.0,-0.0,0.0,0.0,-0.0,-0.001487687945102123,1.0,1.0,1.0204772322394469,2022
2022-01-14,22.193955623595237,23.017669319804355,22.154782191533606,22.568866480826273,24019066,22.534922138659763,22.46450285743534,22.312529102637278,,0.11744102137982892,0.06578727325932227,0.10330749624101332,,,,,,42418975.0,,0.4740607123935833,0.5364982613482445,-6192.428266526217,,,0.0,1,1,0,0,1,1,1,0,0.0030077889300859084,0.0,0.0,0.0,0.0,0.0,0.0,0.0030077889300859084,1.0,1.0,1.0235466123619814,2022
